GeneUID	ProteinSeqLength	NoCysIUPredMeanISD	SequenceUID	Phylostratum	GeneFamilyPhylostratum	GeneFamilyNumber	Stickiness	Hubness	HydrophobicDispersionBlock6	ConglomerateFamilyDesignationIncludingDubious	ExcludedAsDubious	ExcludedAsScerevisiaeSpecific	ExcludedAsUnclassified	CarvunisConservationLevels	GenesUsedByCarvunis	Skudriavzevii	GeneFamilyPhyloTaxonomicGroup	TangoHexamerAPRNum	TangoPentamerAPRNum	WaltzHexamerAPRNum	WaltzPentamerAPRNum	TangoHexamerNumAAInAPRs	TangoPentamerNumAAInAPRs	WaltzHexamerNumAAInAPRs	WaltzPentamerNumAAInAPRs	TangoHexamerAPRDensity	TangoPentamerAPRDensity	WaltzHexamerAPRDensity	WaltzPentamerAPRDensity	TangoHexamerAAInAPRsDensity	TangoPentamerAAInAPRsDensity	WaltzHexamerAAInAPRsDensity	WaltzPentamerAAInAPRsDensity
YAL069W	104	0.1013	1	10	10	3984	0	0	1.0107514881	A	1	0	0	1	1	0	Saccharomyces_cerevisiae	2	2	1	1	24	24	14	14	0.02019230700000	0.02019230700000	0.01057692300000	0.01057692300000	0.23557692300000	0.23557692300000	0.13942307600000	0.13942307600000
YAL068W-A	84	0.1431	2	10	10	459	0	0	0.8700391134	A	1	0	0	4	1	0	Saccharomyces_cerevisiae	1	3	4	4	9	19	36	36	0.01309523800000	0.03690476100000	0.04880952300000	0.04880952300000	0.11309523800000	0.23214285700000	0.43452380900000	0.43452380900000
YAL068C	120	0.1369	3	8	8	3983	0	0	0.8315789474	AON	0	0	0	5	1	0	Saccharomycetales	1	2	3	3	12	17	26	26	0.00916666600000	0.01750000000000	0.02583333300000	0.02583333300000	0.10416666600000	0.14583333300000	0.22083333300000	0.22083333300000
YAL067W-A	75	0.0357	4	10	10	4225	0	0	0.6667471978	A	0	1	0	4	1	0	Saccharomyces_cerevisiae	1	1	1	1	6	6	8	8	0.01466666600000	0.01466666600000	0.01466666600000	0.01466666600000	0.08666666600000	0.08666666600000	0.11333333300000	0.11333333300000
YAL067C	593	0.0973	5	1	1	2879	0	0	1.0718483205	A	0	0	0	10	1	0	Cellular_Organisms	16	20	16	16	203	223	189	189	0.02715008400000	0.03389544600000	0.02715008400000	0.02715008400000	0.34317032000000	0.37689713300000	0.31956155100000	0.31956155100000
YAL066W	102	0.0285	6	10	10	3087	0	0	0.8167115903	A	1	0	0	1	1	0	Saccharomyces_cerevisiae	4	5	2	2	32	37	30	30	0.04019607800000	0.05000000000000	0.02058823500000	0.02058823500000	0.31862745000000	0.36764705800000	0.29901960700000	0.29901960700000
YAL065C	128	0.4466	7	10	7	2746	0	0	1.7100399689	AR	0	0	0	10	1	0	Saccharomyceta	1	2	2	2	13	18	23	23	0.00859375000000	0.01640625000000	0.01640625000000	0.01640625000000	0.10546875000000	0.14453125000000	0.18359375000000	0.18359375000000
YAL064W-B	126	0.1610	8	8	8	2198	0	0	1.1953993280	A	0	0	0	7	1	0	Saccharomycetales	7	7	3	3	58	58	23	23	0.05634920600000	0.05634920600000	0.02460317400000	0.02460317400000	0.46428571400000	0.46428571400000	0.18650793600000	0.18650793600000
YAL064C-A	126	0.1614	9	7	7	2746	0	0	0.7098390525	ANR	0	0	0	10	1	0	Saccharomyceta	1	1	4	4	12	12	32	32	0.00873015800000	0.00873015800000	0.03253968200000	0.03253968200000	0.09920634900000	0.09920634900000	0.25793650700000	0.25793650700000
YAL064W	94	0.1496	10	10	10	38	0	0	1.3396889703	A	0	1	0	2	1	0	Saccharomyces_cerevisiae	3	3	2	2	19	19	24	24	0.03297872300000	0.03297872300000	0.02234042500000	0.02234042500000	0.20744680800000	0.20744680800000	0.26063829700000	0.26063829700000
