GeneUID	SequenceUID	CordesBinaryHydrophobicDispersionBlock6
YAL069W	1	0.8026377688
YAL068W-A	2	0.6722693010
YAL068C	3	1.2526315789
YAL067W-A	4	0.8508121566
YAL067C	5	1.2677677320
YAL066W	6	0.7426470588
YAL065C	7	1.2957923987
YAL064W-B	8	1.5163934426
YAL064C-A	9	0.9058898848
YAL064W	10	1.1711690115
YAL063C-A	11	1.0857142857
YAL063C	12	0.9586653778
YAL062W	13	1.0504320988
YAL061W	14	1.1214830627
YAL060W	15	1.0384255235
YAL059C-A	16	1.2800083918
YAL059W	17	0.7349217599
YAL058W	18	0.9375465848
YAL056C-A	19	0.7700355945
YAL056W	20	1.0013725655
YAL055W	21	1.0733264169
YAL054C	22	1.0911957591
YAL053W	23	1.3834612427
YAL051W	24	1.0752953179
YAL049C	25	1.0237378416
YAL048C	26	1.0277066338
YAL047W-A	27	1.5136111391
YAL047C	28	0.7454409418
YAL046C	29	0.6039025118
YAL045C	30	1.0646418945
YAL044W-A	31	0.7933305393
YAL044C	32	0.7782640848
YAL043C	33	0.9957266912
YAL042C-A	34	1.0235557090
YAL042W	35	1.0969301566
YAL041W	36	1.2003906715
YAL040C	37	1.0361202136
YAL039C	38	1.0624565870
YAL038W	39	0.9844512354
YAL037C-B	40	1.1768379961
YAL037C-A	41	1.4241071429
YAL037W	42	0.7736825420
YAL036C	43	0.9126645924
YAL035W	44	1.2866908047
YAL034C-B	45	1.0238964091
YAL034W-A	46	0.7921456980
YAL034C	47	0.8474880568
YAL033W	48	1.1930858635
YAL032C	49	0.7264552982
YAL031W-A	50	1.4271315586
YAL031C	51	1.0054645336
YAL030W	52	1.6901709402
YAL029C	53	1.0107445199
YAL028W	54	1.0037772091
YAL027W	55	1.0241990898
YAL026C-A	56	1.2227372454
YAL026C	57	1.1430031145
YAL025C	58	1.0249338987
YAL024C	59	0.9980431568
YAL023C	60	1.2520547497
YAL022C	61	1.5381555311
YAL021C	62	0.9492783814
YAL020C	63	0.9057931854
YAL019W-A	64	0.9070727211
YAL019W	65	0.9862451275
YAL018C	66	1.4499237676
YAL017W	67	0.9632459333
YAL016C-B	68	1.0885170488
YAL016C-A	69	1.0865027155
YAL016W	70	0.8425925276
YAL015C	71	1.0592450023
YAL014C	72	1.3333954536
YAL013W	73	0.8386741588
YAL012W	74	0.9499476879
YAL011W	75	0.9441388250
YAL010C	76	0.9030667015
YAL009W	77	0.9933518862
YAL008W	78	1.1283589624
YAL007C	79	1.3553464846
YAL005C	80	1.0381525587
YAL004W	81	0.9840089229
YAL003W	82	0.9653249413
YAL002W	83	1.1548953921
YAL001C	84	0.9102205537
YAR002W	85	0.8828481010
YAR002C-A	86	0.8656255361
YAR003W	87	0.7627401838
YAR007C	88	0.8672855996
YAR008W	89	0.9773495225
YAR009C	90	1.0413142978
YAR010C	91	1.0544541948
